"Size*Scatter"	"Shuffle*Quick"	"Leaf*Cache*BranchMerge"	Cycles
"48160x500"	"Tx16"	"CMOVxTxF"	21302232
"48160x500"	"Tx16"	"CMOVxTxF"	21041100
"48160x500"	"Tx16"	"CMOVxTxF"	20940588
"48160x500"	"Tx16"	"CMOVxTxF"	20904664
"208064xT"	"10x32"	"FxFxT"	78608644
"208064xT"	"10x32"	"FxFxT"	83755896
"208064xT"	"10x32"	"FxFxT"	82436836
"208064xT"	"10x32"	"FxFxT"	73269580
"208064xT"	"10x32"	"FxFxT"	81433268
"208064x10"	"100xF"	"FxFxT"	27621152
"208064x10"	"100xF"	"FxFxT"	27559528
"208064x10"	"100xF"	"FxFxT"	27738848
"208064x10"	"100xF"	"FxFxT"	27461032
"208064x10"	"100xF"	"FxFxT"	27600176
"2580xF"	"Fx16"	"FxTxT"	124460
"2580xF"	"Fx16"	"FxTxT"	123276
"2580xF"	"Fx16"	"FxTxT"	122772
"2580xF"	"Fx16"	"FxTxT"	122768
"2580xF"	"Fx16"	"FxTxT"	122772
"48160x500"	"5xF"	"FxTxT"	5829636
"48160x500"	"5xF"	"FxTxT"	5773160
"48160x500"	"5xF"	"FxTxT"	5527676
"48160x500"	"5xF"	"FxTxT"	5658324
"48160x500"	"5xF"	"FxTxT"	5759960
"2580x10"	"Fx16"	"FxFxF"	238236
"2580x10"	"Fx16"	"FxFxF"	236820
"2580x10"	"Fx16"	"FxFxF"	236180
"2580x10"	"Fx16"	"FxFxF"	237668
"2580x10"	"Fx16"	"FxFxF"	235876
"16777216x10"	"1000x8"	"TxFxT"	2019019228
"16777216x10"	"1000x8"	"TxFxT"	2018485484
"16777216x10"	"1000x8"	"TxFxT"	2015763340
"16777216x10"	"1000x8"	"TxFxT"	2012187392
"16777216x10"	"1000x8"	"TxFxT"	2007061104
"898885x10"	"50x16"	"CMOVxFxF"	179683604
"898885x10"	"50x16"	"CMOVxFxF"	175842448
"898885x10"	"50x16"	"CMOVxFxF"	180872740
"898885x10"	"50x16"	"CMOVxFxF"	175790572
"898885x10"	"50x16"	"CMOVxFxF"	178358236
"138x10"	"10x32"	"TxTxF"	19664
"138x10"	"10x32"	"TxTxF"	19376
"138x10"	"10x32"	"TxTxF"	21580
"138x10"	"10x32"	"TxTxF"	18868
"138x10"	"10x32"	"TxTxF"	18664
"597xT"	"100x16"	"TxTxT"	80788
"597xT"	"100x16"	"TxTxT"	81080
"597xT"	"100x16"	"TxTxT"	81004
"597xT"	"100x16"	"TxTxT"	80472
"597xT"	"100x16"	"TxTxT"	77148
"3883400x10"	"1000xF"	"FxFxT"	631005572
"3883400x10"	"1000xF"	"FxFxT"	637210412
"3883400x10"	"1000xF"	"FxFxT"	631831832
"3883400x10"	"1000xF"	"FxFxT"	629457336
"3883400x10"	"1000xF"	"FxFxT"	631390280
"3883400xT"	"Tx8"	"FxTxT"	7200356276
"3883400xT"	"Tx8"	"FxTxT"	7253732888
"3883400xT"	"Tx8"	"FxTxT"	7241163704
"3883400xT"	"Tx8"	"FxTxT"	7283618560
"3883400xT"	"Tx8"	"FxTxT"	7327913888
"898885xF"	"2x32"	"CMOVxTxF"	88082576
"898885xF"	"2x32"	"CMOVxTxF"	81474488
"898885xF"	"2x32"	"CMOVxTxF"	99548736
"898885xF"	"2x32"	"CMOVxTxF"	100647640
"898885xF"	"2x32"	"CMOVxTxF"	89341200
"11148xF"	"1000x32"	"CMOVxFxF"	3044592
"11148xF"	"1000x32"	"CMOVxFxF"	3012620
"11148xF"	"1000x32"	"CMOVxFxF"	3027504
"11148xF"	"1000x32"	"CMOVxFxF"	3015936
"11148xF"	"1000x32"	"CMOVxFxF"	3023188
"16777216x10"	"100x16"	"CMOVxTxF"	3580690516
"16777216x10"	"100x16"	"CMOVxTxF"	3540984744
"16777216x10"	"100x16"	"CMOVxTxF"	3608698860
"16777216x10"	"100x16"	"CMOVxTxF"	3621778548
"16777216x10"	"100x16"	"CMOVxTxF"	3607224316
"208064xF"	"10xF"	"CMOVxFxF"	49998920
"208064xF"	"10xF"	"CMOVxFxF"	52359004
"208064xF"	"10xF"	"CMOVxFxF"	52298124
"208064xF"	"10xF"	"CMOVxFxF"	48896956
"208064xF"	"10xF"	"CMOVxFxF"	51856916
"2580xT"	"1000x16"	"TxFxT"	505444
"2580xT"	"1000x16"	"TxFxT"	504368
"2580xT"	"1000x16"	"TxFxT"	494160
"2580xT"	"1000x16"	"TxFxT"	490572
"2580xT"	"1000x16"	"TxFxT"	500916
"597xT"	"10x16"	"FxFxT"	55188
"597xT"	"10x16"	"FxFxT"	57760
"597xT"	"10x16"	"FxFxT"	53968
"597xT"	"10x16"	"FxFxT"	55980
"597xT"	"10x16"	"FxFxT"	55324
"138x500"	"Fx8"	"TxFxF"	6640
"138x500"	"Fx8"	"TxFxF"	6608
"138x500"	"Fx8"	"TxFxF"	6620
"138x500"	"Fx8"	"TxFxF"	6724
"138x500"	"Fx8"	"TxFxF"	6128
"11148x500"	"1x32"	"FxFxT"	743416
"11148x500"	"1x32"	"FxFxT"	722020
"11148x500"	"1x32"	"FxFxT"	730324
"11148x500"	"1x32"	"FxFxT"	744520
"11148x500"	"1x32"	"FxFxT"	737852
"16777216xF"	"Fx32"	"CMOVxFxT"	702323856
"16777216xF"	"Fx32"	"CMOVxFxT"	702838488
"16777216xF"	"Fx32"	"CMOVxFxT"	696054908
"16777216xF"	"Fx32"	"CMOVxFxT"	694797228
"16777216xF"	"Fx32"	"CMOVxFxT"	687085896
"898885x500"	"2xF"	"FxFxT"	112073836
"898885x500"	"2xF"	"FxFxT"	109697176
"898885x500"	"2xF"	"FxFxT"	110920020
"898885x500"	"2xF"	"FxFxT"	110255824
"898885x500"	"2xF"	"FxFxT"	109282696
"48160x10"	"Tx32"	"CMOVxTxF"	20057644
"48160x10"	"Tx32"	"CMOVxTxF"	19976972
"48160x10"	"Tx32"	"CMOVxTxF"	20003636
"48160x10"	"Tx32"	"CMOVxTxF"	19998908
"48160x10"	"Tx32"	"CMOVxTxF"	20005200
"16777216xT"	"1x16"	"CMOVxFxT"	14118506244
"16777216xT"	"1x16"	"CMOVxFxT"	14067218864
"16777216xT"	"1x16"	"CMOVxFxT"	15432596332
"16777216xT"	"1x16"	"CMOVxFxT"	15803437036
"16777216xT"	"1x16"	"CMOVxFxT"	14251408504
"208064x10"	"5xF"	"TxFxF"	46824828
"208064x10"	"5xF"	"TxFxF"	49556832
"208064x10"	"5xF"	"TxFxF"	48332900
"208064x10"	"5xF"	"TxFxF"	46594400
"208064x10"	"5xF"	"TxFxF"	48522548
"2580x500"	"1x8"	"TxFxT"	122040
"2580x500"	"1x8"	"TxFxT"	88504
"2580x500"	"1x8"	"TxFxT"	85852
"2580x500"	"1x8"	"TxFxT"	91468
"2580x500"	"1x8"	"TxFxT"	104060
"3883400x500"	"1000x16"	"FxFxT"	551546092
"3883400x500"	"1000x16"	"FxFxT"	554062156
"3883400x500"	"1000x16"	"FxFxT"	552403508
"3883400x500"	"1000x16"	"FxFxT"	548348068
"3883400x500"	"1000x16"	"FxFxT"	550953252
"16777216xF"	"100xF"	"CMOVxTxT"	2539323152
"16777216xF"	"100xF"	"CMOVxTxT"	2542535960
"16777216xF"	"100xF"	"CMOVxTxT"	2559374596
"16777216xF"	"100xF"	"CMOVxTxT"	2558734280
"16777216xF"	"100xF"	"CMOVxTxT"	2557122708
"597x500"	"2x8"	"FxTxF"	66916
"597x500"	"2x8"	"FxTxF"	78500
"597x500"	"2x8"	"FxTxF"	63124
"597x500"	"2x8"	"FxTxF"	63348
"597x500"	"2x8"	"FxTxF"	57628
"208064x500"	"100x8"	"FxFxF"	50722188
"208064x500"	"100x8"	"FxFxF"	50675892
"208064x500"	"100x8"	"FxFxF"	51151936
"208064x500"	"100x8"	"FxFxF"	50115492
"208064x500"	"100x8"	"FxFxF"	51012324
"11148xF"	"5x32"	"CMOVxFxT"	707552
"11148xF"	"5x32"	"CMOVxFxT"	689136
"11148xF"	"5x32"	"CMOVxFxT"	662204
"11148xF"	"5x32"	"CMOVxFxT"	642632
"11148xF"	"5x32"	"CMOVxFxT"	656620
"208064x10"	"5x16"	"CMOVxTxT"	12135836
"208064x10"	"5x16"	"CMOVxTxT"	13296128
"208064x10"	"5x16"	"CMOVxTxT"	12857760
"208064x10"	"5x16"	"CMOVxTxT"	11886148
