"Size*Scatter"	"Shuffle*Quick"	"Leaf*Cache*BranchMerge"	Cycles
"3883400x500"	"500x8"	"FxFxT"	7524202088
"138x500"	"5x8"	"CMOVxFxT"	94548
"138x500"	"5x8"	"CMOVxFxT"	101512
"138x500"	"5x8"	"CMOVxFxT"	108112
"138x500"	"5x8"	"CMOVxFxT"	95196
"138x500"	"5x8"	"CMOVxFxT"	102844
"138x500"	"2x32"	"FxFxF"	80236
"138x500"	"2x32"	"FxFxF"	88048
"138x500"	"2x32"	"FxFxF"	128028
"138x500"	"2x32"	"FxFxF"	99524
"138x500"	"2x32"	"FxFxF"	96064
"2580xT"	"1000x32"	"CMOVxFxT"	4748276
"2580xT"	"1000x32"	"CMOVxFxT"	4737176
"2580xT"	"1000x32"	"CMOVxFxT"	4714456
"2580xT"	"1000x32"	"CMOVxFxT"	4702656
"2580xT"	"1000x32"	"CMOVxFxT"	4717408
"597xF"	"50x16"	"FxTxF"	809708
"597xF"	"50x16"	"FxTxF"	823584
"597xF"	"50x16"	"FxTxF"	798892
"597xF"	"50x16"	"FxTxF"	795020
"597xF"	"50x16"	"FxTxF"	804252
"597xT"	"50x32"	"FxFxT"	814724
"597xT"	"50x32"	"FxFxT"	830112
"597xT"	"50x32"	"FxFxT"	792716
"597xT"	"50x32"	"FxFxT"	807128
"597xT"	"50x32"	"FxFxT"	808780
"898885xF"	"100x8"	"TxTxT"	1322615884
"898885xF"	"100x8"	"TxTxT"	1314968112
"898885xF"	"100x8"	"TxTxT"	1344385944
"898885xF"	"100x8"	"TxTxT"	1357572656
"898885xF"	"100x8"	"TxTxT"	1355687876
"208064xF"	"500x16"	"CMOVxTxT"	394945656
"208064xF"	"500x16"	"CMOVxTxT"	395090048
"208064xF"	"500x16"	"CMOVxTxT"	393803572
"208064xF"	"500x16"	"CMOVxTxT"	391363472
"208064xF"	"500x16"	"CMOVxTxT"	396267288
"597xF"	"100x16"	"CMOVxFxT"	827824
"597xF"	"100x16"	"CMOVxFxT"	844120
"597xF"	"100x16"	"CMOVxFxT"	834084
"597xF"	"100x16"	"CMOVxFxT"	824192
"597xF"	"100x16"	"CMOVxFxT"	829996
"898885xF"	"5xF"	"FxFxT"	1684712396
"898885xF"	"5xF"	"FxFxT"	1823827152
"898885xF"	"5xF"	"FxFxT"	1685309732
"898885xF"	"5xF"	"FxFxT"	1818407384
"898885xF"	"5xF"	"FxFxT"	1746941956
"32x500"	"Tx16"	"TxTxT"	24320
"32x500"	"Tx16"	"TxTxT"	22832
"32x500"	"Tx16"	"TxTxT"	23396
"32x500"	"Tx16"	"TxTxT"	23924
"32x500"	"Tx16"	"TxTxT"	23648
"11148x10"	"100x32"	"FxFxF"	19713648
"11148x10"	"100x32"	"FxFxF"	19346868
"11148x10"	"100x32"	"FxFxF"	19526368
"11148x10"	"100x32"	"FxFxF"	19265532
"11148x10"	"100x32"	"FxFxF"	19496064
"3883400xT"	"1x16"	"TxTxF"	3923377180
"3883400xT"	"1x16"	"TxTxF"	3887778100
"3883400xT"	"1x16"	"TxTxF"	5713592872
"3883400xT"	"1x16"	"TxTxF"	4597921896
"3883400xT"	"1x16"	"TxTxF"	5299109208
"138xT"	"1xF"	"FxFxF"	100460
"138xT"	"1xF"	"FxFxF"	111908
"138xT"	"1xF"	"FxFxF"	121984
"138xT"	"1xF"	"FxFxF"	100020
"138xT"	"1xF"	"FxFxF"	115796
"208064x500"	"10x16"	"CMOVxTxF"	214742580
"208064x500"	"10x16"	"CMOVxTxF"	232347728
"208064x500"	"10x16"	"CMOVxTxF"	230462928
"208064x500"	"10x16"	"CMOVxTxF"	202152248
"208064x500"	"10x16"	"CMOVxTxF"	228136868
"16777216x500"	"5x32"	"CMOVxTxT"	14161621416
"16777216x500"	"5x32"	"CMOVxTxT"	15369983380
"16777216x500"	"5x32"	"CMOVxTxT"	14210591508
"16777216x500"	"5x32"	"CMOVxTxT"	14121351988
"16777216x500"	"5x32"	"CMOVxTxT"	13709649096
"2580x10"	"Fx8"	"FxFxT"	692364
"2580x10"	"Fx8"	"FxFxT"	689988
"2580x10"	"Fx8"	"FxFxT"	687212
"2580x10"	"Fx8"	"FxFxT"	688140
"2580x10"	"Fx8"	"FxFxT"	687428
"48160x500"	"10x16"	"FxTxF"	49109996
"48160x500"	"10x16"	"FxTxF"	53689284
"48160x500"	"10x16"	"FxTxF"	45556736
"48160x500"	"10x16"	"FxTxF"	53870824
"48160x500"	"10x16"	"FxTxF"	50935644
"898885xT"	"2x16"	"FxFxT"	800424552
"898885xT"	"2x16"	"FxFxT"	725957620
"898885xT"	"2x16"	"FxFxT"	953464876
"898885xT"	"2x16"	"FxFxT"	952151752
"898885xT"	"2x16"	"FxFxT"	835565656
"597xT"	"1000x8"	"FxTxF"	955644
"597xT"	"1000x8"	"FxTxF"	958328
"597xT"	"1000x8"	"FxTxF"	954188
"597xT"	"1000x8"	"FxTxF"	958804
"597xT"	"1000x8"	"FxTxF"	974496
"138xF"	"2x16"	"FxTxF"	68440
"138xF"	"2x16"	"FxTxF"	76820
"138xF"	"2x16"	"FxTxF"	114756
"138xF"	"2x16"	"FxTxF"	86460
"138xF"	"2x16"	"FxTxF"	83804
