"Size*Scatter"	"Shuffle*Quick"	"Leaf*Cache*BranchMerge"	Count
"19571xF"	"50x32"	"TxFxT"	166697
"19571xF"	"50x32"	"TxFxT"	162331
"19571xF"	"50x32"	"TxFxT"	159921
"1578085xF"	"2x8"	"FxFxT"	4627328
"1578085xF"	"2x8"	"FxFxT"	4060654
"1578085xF"	"2x8"	"FxFxT"	4107616
"1578085xF"	"2x8"	"FxFxT"	5529146
"1578085xF"	"2x8"	"FxFxT"	3130398
"4346076xF"	"500x32"	"TxFxT"	50182917
"4346076xF"	"500x32"	"TxFxT"	49949465
"4346076xF"	"500x32"	"TxFxT"	49906539
"4346076xF"	"500x32"	"TxFxT"	50176651
"4346076xF"	"500x32"	"TxFxT"	50185061
"2580xF"	"Tx16"	"TxFxT"	26729
"2580xF"	"Tx16"	"TxFxT"	26712
"2580xF"	"Tx16"	"TxFxT"	26695
"2580xF"	"Tx16"	"TxFxT"	26713
"2580xF"	"Tx16"	"TxFxT"	26723
"6091903xF"	"2x16"	"FxFxT"	19252802
"6091903xF"	"2x16"	"FxFxT"	23469745
"6091903xF"	"2x16"	"FxFxT"	19386896
"6091903xF"	"2x16"	"FxFxT"	20700690
"6091903xF"	"2x16"	"FxFxT"	25307253
"38452xF"	"Fx8"	"FxFxT"	46643
"38452xF"	"Fx8"	"FxFxT"	46643
"38452xF"	"Fx8"	"FxFxT"	46643
"38452xF"	"Fx8"	"FxFxT"	46643
"38452xF"	"Fx8"	"FxFxT"	46643
"105897xF"	"10xF"	"TxFxT"	1046909
"105897xF"	"10xF"	"TxFxT"	1067843
"105897xF"	"10xF"	"TxFxT"	1021056
"105897xF"	"10xF"	"TxFxT"	1062435
"105897xF"	"10xF"	"TxFxT"	1069088
"173xF"	"500x32"	"FxFxT"	1085
"173xF"	"500x32"	"FxFxT"	1056
"173xF"	"500x32"	"FxFxT"	1081
"173xF"	"500x32"	"FxFxT"	1083
"173xF"	"500x32"	"FxFxT"	1081
"803192xF"	"1x8"	"TxFxT"	2190620
"803192xF"	"1x8"	"TxFxT"	1725938
"803192xF"	"1x8"	"TxFxT"	2111367
"803192xF"	"1x8"	"TxFxT"	2444254
"803192xF"	"1x8"	"TxFxT"	2379323
"477xF"	"500x16"	"TxFxT"	3710
"477xF"	"500x16"	"TxFxT"	3727
"477xF"	"500x16"	"TxFxT"	3727
"477xF"	"500x16"	"TxFxT"	3719
"477xF"	"500x16"	"TxFxT"	3710
"32xF"	"Fx16"	"FxFxT"	51
"32xF"	"Fx16"	"FxFxT"	51
"32xF"	"Fx16"	"FxFxT"	51
"32xF"	"Fx16"	"FxFxT"	51
"32xF"	"Fx16"	"FxFxT"	51
"19571xF"	"FxF"	"FxFxT"	135892
"19571xF"	"FxF"	"FxFxT"	135892
"19571xF"	"FxF"	"FxFxT"	135892
"19571xF"	"FxF"	"FxFxT"	135892
"19571xF"	"FxF"	"FxFxT"	135892
"2212005xF"	"1000x32"	"FxFxT"	27669747
"2212005xF"	"1000x32"	"FxFxT"	27749110
"2212005xF"	"1000x32"	"FxFxT"	27588964
"2212005xF"	"1000x32"	"FxFxT"	27776918
"2212005xF"	"1000x32"	"FxFxT"	27571475
"208064xF"	"Fx32"	"TxFxT"	514431
"208064xF"	"Fx32"	"TxFxT"	514431
"208064xF"	"Fx32"	"TxFxT"	514431
"208064xF"	"Fx32"	"TxFxT"	514431
"208064xF"	"Fx32"	"TxFxT"	514431
"124xF"	"1000xF"	"FxFxT"	702
"124xF"	"1000xF"	"FxFxT"	708
"124xF"	"1000xF"	"FxFxT"	711
"124xF"	"1000xF"	"FxFxT"	708
"124xF"	"1000xF"	"FxFxT"	706
"7106xF"	"5x16"	"FxFxT"	33090
"7106xF"	"5x16"	"FxFxT"	30552
"7106xF"	"5x16"	"FxFxT"	32504
"7106xF"	"5x16"	"FxFxT"	35090
"7106xF"	"5x16"	"FxFxT"	36761
"148437xF"	"500x8"	"FxFxT"	1601774
"148437xF"	"500x8"	"FxFxT"	1599103
"148437xF"	"500x8"	"FxFxT"	1598150
"148437xF"	"500x8"	"FxFxT"	1595331
"148437xF"	"500x8"	"FxFxT"	1605471
"45xF"	"50x8"	"FxFxT"	199
"45xF"	"50x8"	"FxFxT"	208
"45xF"	"50x8"	"FxFxT"	207
"45xF"	"50x8"	"FxFxT"	209
"45xF"	"50x8"	"FxFxT"	207
"53898xF"	"1xF"	"TxFxT"	439848
"53898xF"	"1xF"	"TxFxT"	426636
"53898xF"	"1xF"	"TxFxT"	452409
"53898xF"	"1xF"	"TxFxT"	435020
"53898xF"	"1xF"	"TxFxT"	427042
"8539032xF"	"10x32"	"TxFxT"	45774569
"8539032xF"	"10x32"	"TxFxT"	41506156
"8539032xF"	"10x32"	"TxFxT"	53444785
"8539032xF"	"10x32"	"TxFxT"	45914664
"8539032xF"	"10x32"	"TxFxT"	50527845
"38452xF"	"2x16"	"FxFxT"	144009
"38452xF"	"2x16"	"FxFxT"	95212
"38452xF"	"2x16"	"FxFxT"	131158
"38452xF"	"2x16"	"FxFxT"	152463
"38452xF"	"2x16"	"FxFxT"	100480
"19571xF"	"1000xF"	"FxFxT"	229091
"19571xF"	"1000xF"	"FxFxT"	230220
"19571xF"	"1000xF"	"FxFxT"	229299
"19571xF"	"1000xF"	"FxFxT"	228594
"19571xF"	"1000xF"	"FxFxT"	229786
"13962xF"	"10x16"	"FxFxT"	79225
"13962xF"	"10x16"	"FxFxT"	82923
"13962xF"	"10x16"	"FxFxT"	71786
"13962xF"	"10x16"	"FxFxT"	79390
"13962xF"	"10x16"	"FxFxT"	77944
"1125835xF"	"Tx16"	"TxFxT"	21511060
"1125835xF"	"Tx16"	"TxFxT"	21510493
"1125835xF"	"Tx16"	"TxFxT"	21509535
"1125835xF"	"Tx16"	"TxFxT"	21509283
"1125835xF"	"Tx16"	"TxFxT"	21510551
"5070xF"	"100x32"	"FxFxT"	45058
"5070xF"	"100x32"	"FxFxT"	45463
"5070xF"	"100x32"	"FxFxT"	45028
"5070xF"	"100x32"	"FxFxT"	45478
"5070xF"	"100x32"	"FxFxT"	45285
"11969176xF"	"1000x32"	"TxFxT"	153460118
"11969176xF"	"1000x32"	"TxFxT"	153820635
"11969176xF"	"1000x32"	"TxFxT"	153801144
"11969176xF"	"1000x32"	"TxFxT"	154710141
"11969176xF"	"1000x32"	"TxFxT"	153325433
"2580xF"	"500xF"	"FxFxT"	24902
"2580xF"	"500xF"	"FxFxT"	24597
"2580xF"	"500xF"	"FxFxT"	24641
"2580xF"	"500xF"	"FxFxT"	24660
"2580xF"	"500xF"	"FxFxT"	24674
"19571xF"	"100x8"	"TxFxT"	166574
"19571xF"	"100x8"	"TxFxT"	168350
"19571xF"	"100x8"	"TxFxT"	168266
"19571xF"	"100x8"	"TxFxT"	164735
"19571xF"	"100x8"	"TxFxT"	162452
"408797xF"	"5xF"	"FxFxT"	4293132
"408797xF"	"5xF"	"FxFxT"	4246922
"408797xF"	"5xF"	"FxFxT"	4281487
"408797xF"	"5xF"	"FxFxT"	4497525
"408797xF"	"5xF"	"FxFxT"	4334905
"6091903xF"	"1000x16"	"TxFxT"	75841838
"6091903xF"	"1000x16"	"TxFxT"	75859275
"6091903xF"	"1000x16"	"TxFxT"	76121792
"6091903xF"	"1000x16"	"TxFxT"	75890220
"6091903xF"	"1000x16"	"TxFxT"	75760220
"5070xF"	"10xF"	"TxFxT"	39462
"5070xF"	"10xF"	"TxFxT"	37443
"5070xF"	"10xF"	"TxFxT"	38847
"5070xF"	"10xF"	"TxFxT"	38955
"5070xF"	"10xF"	"TxFxT"	38825
"3617xF"	"Tx8"	"FxFxT"	39293
"3617xF"	"Tx8"	"FxFxT"	39310
"3617xF"	"Tx8"	"FxFxT"	39334
"3617xF"	"Tx8"	"FxFxT"	39339
"3617xF"	"Tx8"	"FxFxT"	39284
"573012xF"	"2xF"	"TxFxT"	5835643
"573012xF"	"2xF"	"TxFxT"	5796530
"573012xF"	"2xF"	"TxFxT"	5558885
"573012xF"	"2xF"	"TxFxT"	5873120
"573012xF"	"2xF"	"TxFxT"	5914670
"340xF"	"TxF"	"TxFxT"	2480
"340xF"	"TxF"	"TxFxT"	2485
"340xF"	"TxF"	"TxFxT"	2465
"340xF"	"TxF"	"TxFxT"	2478
"340xF"	"TxF"	"TxFxT"	2454
"88xF"	"FxF"	"FxFxT"	268
"88xF"	"FxF"	"FxFxT"	268
"88xF"	"FxF"	"FxFxT"	268
